STAR:010,5,WYLND1,ALL,BOEGY,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,15000,     ,18000, ,250,    ,   , , , , , , , , ;
STAR:020,5,WYLND1,ALL,WYLND,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,WYLND1,ALL,LNDIN,K2,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,09000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,WYLND1,ALL,LNDIN,K2,E,A,EE  , ,   ,FM, ,ELY,K2,D, ,      ,1659,1846,2700,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,I,I12L, ,JOKUS,K2,P,C,E  I, ,   ,IF, ,IHWG,K2,P,I,      ,3003,0126,    ,    ,J,06200,05500,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I12L, ,KIGGE,K2,P,C,E  F, ,   ,CF, ,IHWG,K2,P,I,      ,3003,0104,1200,0023,H,05500,05500,     , ,   ,-320,   ,LAS,K2,D, , ,0,N,S;
APPCH:030,I,I12L, ,RW12L,K2,P,G,G  M, ,   ,CF, ,IHWG,K2,P,I,      ,3003,0008,1200,0096, ,02237,     ,     , ,   ,-320,   , , , , , ,0,N,S;
APPCH:040,I,I12L, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1200,    ,+,02660,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I12L, , , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,2500,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I12L, ,TUPUC,K2,P,C,EY  , ,   ,CF, ,LAS,K2,D, ,      ,3100,0100,3100,0060,+,06000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:070,I,I12L, ,LAS,K2,D, ,V   ,R,   ,CF,Y,LAS,K2,D, ,      ,0000,0000,1500,0100, ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:080,I,I12L, ,LAS,K2,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,2510,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,R12R,ECAKO,ECAKO,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,09000,     ,18000,-,230,    ,   , , , , , ,A,J,S;
APPCH:020,A,R12R,ECAKO,UYUKA,K2,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R12R, ,UYUKA,K2,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:015,R,R12R, ,CUXIV,K2,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,1200,0028,+,06100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R12R, ,YITLU,K2,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1200,0032,+,05100,     ,     , ,   ,-300,   ,RW12R,K2,P,G, ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:023,R,R12R, ,WOLON,K2,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1200,0041,+,03800,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:025,R,R12R, ,OXYAP,K2,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1200,0028,+,02900,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R12R, ,RW12R,K2,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1200,0021, ,02245,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R12R, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1200,    ,+,02900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R12R, ,SUVIE,K2,E,A,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R12R, ,SUVIE,K2,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,0320,0040,+,07500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW07 ,     ,      ,02204, ,    , ,   ;N36124786,W115121215,0000;
RWY:RW12L,     ,      ,02189, ,IHWG,1,   ;N36124472,W115114711,0000;
RWY:RW12R,     ,      ,02205, ,    , ,   ;N36125284,W115120960,0000;
RWY:RW25 ,     ,      ,02173, ,    , ,   ;N36124907,W115111110,0000;
RWY:RW30L,     ,      ,02163, ,    , ,   ;N36121829,W115112595,0000;
RWY:RW30R,     ,      ,02148, ,    , ,   ;N36121708,W115111220,0199;
